cod_ibge;municipio;area_territorial_km2;pop_residente;den_demografica_hab/km;escolarizacao_6_a_14_anos_percent;idhm;receitas_realizadas_1000;pib_2020
3551603;Serra Negra;203.734;29894;146.73;97.8;0.767;102223.7922;25165.64
3551702;Sertãozinho;403.089;126887;314.79;98.5;0.761;519898.9592;52255.66
3551801;Sete Barras;1062.699;12730;11.98;96.1;0.673;40085.21132;27506.04
3551900;Severínia;140.46;14576;103.77;96;0.715;56762.33992;14326.81
3552007;Silveiras;414.782;6186;14.91;98.2;0.678;24259.16692;14132.69
3552106;Socorro;449.029;40122;89.35;97.7;0.729;103733.5194;23257.18
3552205;Sorocaba;449.872;723682;1608.64;98.1;0.798;2904617.703;53427.5
3552304;Sud Mennucci;594.744;7355;12.37;98.3;0.747;36969.41725;29262.58
3552403;Sumaré;153.465;279545;1821.56;97.7;0.762;697378.0198;48044.99
3552502;Suzano;206.236;307429;1490.67;96.7;0.765;754545.2912;42170.5
3552551;Suzanápolis;330.587;3408;10.31;99.8;0.699;27632.55855;73946.17
3552601;Tabapuã;345.792;11323;32.75;98.4;0.735;38949.30441;20866.4
3552700;Tabatinga;368.604;14769;40.07;96.5;0.704;42725.24708;17802.02
3552809;Taboão da Serra;20.388;273542;13416.81;96.9;0.769;799203.326;30692.4
3552908;Taciba;607.267;6260;10.31;99.3;0.723;40441.753;30157.56
3553005;Taguaí;145.332;12669;87.17;97.3;0.709;34774.55964;19482.2
3553104;Taiaçu;107.059;5677;53.03;97.8;0.71;23201.97518;15867.28
3553203;Taiúva;132.459;6548;49.43;97.8;0.76;20841.96812;20882.86
3553302;Tambaú;561.788;21435;38.15;97.7;0.731;84782.78536;25799.75
3553401;Tanabi;747.218;25265;33.81;99;0.748;77937.68822;46578.74
3553500;Tapiraí;755.1;7996;10.59;98.3;0.681;29032.22377;23609.6
3553609;Tapiratiba;221.891;11816;53.25;98.2;0.751;46243.60329;20046.34
3553658;Taquaral;53.892;2619;48.6;98.2;0.759;15229.67138;15816.4
3553708;Taquaritinga;594.335;52260;87.93;98.2;0.748;195729.8633;30074.32
3553807;Taquarituba;448.515;24350;54.29;97.8;0.701;79379.34748;37856.1
3553856;Taquarivaí;231.792;6876;29.66;99.4;0.679;24023.00551;56672.12
3553906;Tarabai;201.385;6536;32.46;99.2;0.726;22139.79281;18970.86
3553955;Tarumã;302.913;14882;49.13;99;0.753;68265.10796;56201.36
3554003;Tatuí;523.749;123942;236.64;97.6;0.752;335219.5472;35806.34
3554102;Taubaté;625.003;310739;497.18;98.1;0.8;1150010.208;46886.82
3554201;Tejupá;296.189;4127;13.93;98.4;0.668;20384.66136;27077.88
3554300;Teodoro Sampaio;1555.803;22173;14.25;97.1;0.741;73860.55533;24968.58
3554409;Terra Roxa;221.541;7904;35.68;98.9;0.749;28597.7748;17000.27
3554508;Tietê;404.396;37663;93.13;97.1;0.778;146954.3997;46351.49
3554607;Timburi;196.79;2464;12.52;99.7;0.71;17816.13234;21927.44
3554656;Torre de Pedra;71.348;2046;28.68;98.4;0.714;13407.93487;14009.53
3554706;Torrinha;315.267;9335;29.61;96.4;0.744;27051.47801;23403.04
3554755;Trabiju;63.421;1682;26.52;98.4;0.722;13199.32883;23950.98
3554805;Tremembé;191.094;51173;267.79;97.8;0.785;115438.788;17013.04
3554904;Três Fronteiras;151.594;6804;44.88;98.8;0.753;20281.16732;18941.39
3554953;Tuiuti;126.731;6778;53.48;97.3;0.728;21049.98575;26755.88
3555000;Tupã;627.986;63928;101.8;97.3;0.771;158108.3283;31059.21
3555109;Tupi Paulista;244.77;15854;64.77;99.4;0.769;45866.82798;20095.6
3555208;Turiúba;153.235;1818;11.86;100;0.751;17138.43291;27207.01
3555307;Turmalina;147.797;1669;11.29;97.1;0.736;16654.98595;39790.65
3555356;Ubarana;209.861;5365;25.56;99.7;0.7;27007.48148;62839.13
3555406;Ubatuba;708.105;92981;131.31;97.7;0.751;315083.3597;26111.17
3555505;Ubirajara;282.179;5132;18.19;98.9;0.727;20437.85761;24193.01
3555604;Uchoa;252.434;10394;41.18;98.2;0.721;41443.11356;34608.34
3555703;União Paulista;79.056;1603;20.28;96.8;0.749;14795.32857;27198.47
3555802;Urânia;209.262;8833;42.21;100;0.746;25938.31201;27057.23
3555901;Uru;146.901;1387;9.44;95.1;0.712;15080.53182;38900.94
3556008;Urupês;323.916;13744;42.43;99.1;0.745;42321.88297;33323.19
3556107;Valentim Gentil;149.741;14098;94.15;98.8;0.735;41491.25856;29357.35
3556206;Valinhos;148.538;126373;850.78;97.2;0.819;551223.3311;52314.12
3556305;Valparaíso;857.661;24241;28.26;98;0.725;81981.0777;43140.43
3556354;Vargem;142.595;10512;73.72;98.1;0.699;23552.12652;13564.3
3556404;Vargem Grande do Sul;267.178;40133;150.21;98.8;0.737;106003.734;26291.66
3556453;Vargem Grande Paulista;42.489;50415;1186.54;97.2;0.77;161893.611;44174.64
3556503;Várzea Paulista;35.12;115771;3296.44;96.9;0.759;278885.5884;25507.18
3556602;Vera Cruz;247.716;10176;41.08;99;0.754;29102.65535;18553.52
3556701;Vinhedo;80.95;76540;945.52;97.5;0.817;468512.3804;130500.02
3556800;Viradouro;217.726;17414;79.98;98.4;0.739;59293.68816;19558.31
3556909;Vista Alegre do Alto;95.429;8109;84.97;100;0.744;37513.17079;44966.33
3556958;Vitória Brasil;49.832;1794;36;98.5;0.725;13498.08908;23045.31
3557006;Votorantim;184.186;127923;694.53;97.8;0.767;366924.7345;27713.57
3557105;Votuporanga;420.703;96634;229.7;98.8;0.79;303453.5047;35390.26
3557154;Zacarias;319.056;2692;8.44;98.6;0.729;24744.74691;41074.6
3557204;Chavantes;188.727;12211;64.7;98.6;0.729;38538.01922;19174.98
3557303;Estiva Gerbi;74.144;11295;152.34;98.6;0.74;40727.84327;30424.88
