ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3514908;0;0;0;8873563;3678161;7586207;8545994;5192878;9347181
2011;SP;;;3520509;0;0;0;9401102;3714235;2274747;8254581;1158562;5868577
2011;SP;;;3530904;0;0;0;0;0;0;8695652;8695652;4347826
2011;SP;;;3531803;0;0;0;9141736;4413929;416871;8245112;9680496;7868383
2011;SP;;;3542107;0;0;0;9310897;4967949;1923077;7297298;1375921;1326781
2011;SP;;;3544004;0;0;0;9050773;4635762;4856512;8103608;9898242;906568
2011;SP;;;3510500;0;0;0;9248036;718294;3367004;8914964;9386828;1463538
2011;SP;;;3520400;0;0;0;0;0;0;8429407;1562239;8354219
2011;SP;;;3550704;0;0;0;8461539;9230769;6153846;8448687;1408115;1431981
2011;SP;;;3555406;4285714;4285714;1428571;9035602;9148265;4957188;8215527;1402086;382387
2011;SP;;;3510609;9461615;4725822;6580259;9264852;5076985;227449;8166734;1165516;6677496
2011;SP;;;3513009;9152542;6779661;1694915;8767345;9414328;291223;6952972;2060745;9862835
2011;SP;;;3503703;0;0;0;9285714;6349206;7936508;9142857;3492064;5079365
2011;SP;;;3509304;0;0;0;0;0;0;8608924;4986876;8923884
2011;SP;;;3511102;0;0;0;9433289;4685408;9817046;9012791;8232207;1639882
2011;SP;;;3511201;0;0;0;9782609;4830918;1690821;8787878;4545455;7575758
2011;SP;;;3514924;0;0;0;0;0;0;965812;3418803;0
2011;SP;;;3514957;0;0;0;952;48;0;8953488;1046512;0
2011;SP;;;3521903;0;0;0;0;0;0;9517767;4314721;5076142
2011;SP;;;3528858;0;0;0;972028;2797203;0;8701299;1298701;0
2011;SP;;;3533254;0;0;0;0;0;0;9821429;1190476;5952381
2011;SP;;;3533502;0;0;0;8954248;8061002;2396514;8263052;1094378;6425703
2011;SP;;;3535101;0;0;0;9645293;3410641;1364256;8973105;7579462;2689487
2011;SP;;;3535705;0;0;0;0;0;0;9439252;4205607;1401869
2011;SP;;;3538105;0;0;0;8933334;80;2666667;8782201;8196721;3981265
2011;SP;;;3545605;0;0;0;9851632;1186944;2967359;9628821;2401747;1310044
2011;SP;;;3552601;0;0;0;9777778;1481481;7407407;9005848;6725146;3216374
2011;SP;;;3550308;9633988;3091001;569118;8852436;8957501;2518139;7253709;2070824;6754673
2011;SP;;;3513801;9567005;4208999;1209482;9170816;5582016;2709822;7970593;1403813;625594
2011;SP;;;3515202;0;0;0;8868778;8144796;3167421;9218107;5349794;2469136
2011;SP;;;3515509;8823529;1176471;0;9406931;5823508;1071811;8614971;130883;7619901
2011;SP;;;3516903;0;0;0;945946;5405406;0;9035533;964467;0
2011;SP;;;3518008;0;0;0;9560439;3296703;1098901;8833334;8333333;3333333
2011;SP;;;3520707;0;0;0;9019608;9803922;0;8309859;1619718;7042254
2011;SP;;;3528205;0;0;0;9757281;2427185;0;945946;5405406;0
2011;SP;;;3528304;0;0;0;9462366;5376344;0;8461539;1538461;0
2011;SP;;;3529609;0;0;0;9560439;4395605;0;8555556;7222222;7222222
2011;SP;;;3530003;0;0;0;1000;0;0;9516129;483871;0
2011;SP;;;3534757;0;0;0;8912621;1087379;0;8135135;1864865;0
2011;SP;;;3536901;0;0;0;1000;0;0;987013;1298701;0
2011;SP;;;3540408;0;0;0;9457832;5421687;0;8974359;1025641;0
2011;SP;;;3549201;0;0;0;9677419;2150538;1075269;9457365;3875969;1550388
2011;SP;;;3549250;0;0;0;9882353;1176471;0;9753086;2469136;0
2011;SP;;;3555307;0;0;0;1000;0;0;952381;4761905;0
2011;SP;;;3513207;0;0;0;0;0;0;785124;7438016;1404959
2011;SP;;;3516200;9760923;2349547;4122011;9346911;3613758;291713;8265784;7791054;9551106
2011;SP;;;3523701;0;0;0;8755656;4977376;7466063;7921568;7843137;1294118
2011;SP;;;3525409;0;0;0;0;0;0;8231707;2439024;152439
2011;SP;;;3536307;0;0;0;902439;3547672;6208426;8346774;483871;1169355
2011;SP;;;3537008;9728261;2173913;5434783;9216044;3737466;4102097;8242812;7507987;100639
2011;SP;;;3542701;0;0;0;0;0;0;8071429;1464286;4642857
2011;SP;;;3543105;0;0;0;0;0;0;950;0;50
2011;SP;;;3543600;0;0;0;9429658;3041825;2661597;8481013;6329114;886076
2011;SP;;;3549508;0;0;0;8548124;1125612;3262643;7570621;1525424;9039548
2011;SP;;;3502507;0;0;0;9144736;7894737;6578947;8626302;9375;4361979
2011;SP;;;3503158;0;0;0;0;0;0;8934426;1639344;9016394
2011;SP;;;3503505;0;0;0;0;0;0;8195122;1804878;0
2011;SP;;;3504909;0;0;0;0;0;0;8379531;1577825;4264392
2011;SP;;;3508603;0;0;0;8452381;1479592;6802721;728169;2183099;5352113
2011;SP;;;3509957;0;0;0;0;0;0;5770751;3201581;1027668
2011;SP;;;3513405;0;0;0;852526;1326152;1485884;8222305;1538174;239521
2011;SP;;;3513603;8085107;1914894;0;9333768;3919007;2743305;7766798;1709486;5237154
2011;SP;;;3518404;1000;0;0;8583673;1295918;1204082;7077673;2548065;374263
2011;SP;;;3526605;0;0;0;948718;5128205;0;7888889;2074074;3703704
2011;SP;;;3527207;0;0;0;8382353;1371409;246238;7647059;1848172;5047695
2011;SP;;;3538501;0;0;0;8495441;1018237;4863222;813253;1144578;7228916
2011;SP;;;3540754;0;0;0;0;0;0;5830116;2509653;1660232
2011;SP;;;3541901;0;0;0;8586957;7065217;7065217;7194805;1324675;1480519
2011;SP;;;3544301;0;0;0;0;0;0;7185185;145679;1358025
2011;SP;;;3549607;0;0;0;0;0;0;8490566;1383648;1257862
2011;SP;;;3552007;0;0;0;8896797;7117438;3914591;8404908;7361963;8588957
2011;SP;;;3518800;9473325;4914989;3517686;8874112;9215;2043879;7665078;1857213;4777092
2011;SP;;;3515103;9849056;1509434;0;9351603;5872278;6116956;7949693;1664229;3860778
2011;SP;;;3522208;9589041;3938356;1712329;8958197;9199319;1218713;7780642;1920351;2990076
2011;SP;;;3526209;9112426;8579882;295858;9132948;6647399;2023121;7899263;1541769;5589681
2011;SP;;;3549953;0;0;0;8738739;1171171;9009009;8019802;1442716;5374823
2011;SP;;;3500758;0;0;0;9400922;5529954;4608295;9017094;940171;4273504
2011;SP;;;3502200;8584071;1327434;8849558;8686441;1059322;2542373;7457832;2349398;1927711
2011;SP;;;3509452;0;0;0;9009901;990099;0;7906977;2093023;0
2011;SP;;;3518503;0;0;0;9210526;7368421;5263158;8179959;8793456;9406953
2011;SP;;;3522307;9516129;4545455;2932551;9138659;7144063;1469346;7844923;1865005;2900707
2011;SP;;;3535804;0;0;0;0;0;0;8443272;1306069;2506596
2011;SP;;;3550209;0;0;0;9176579;6770357;1463861;8332053;1299001;368947
2011;SP;;;3551108;9756097;0;2439024;9506727;2466368;2466368;8891455;9468822;1616628
2011;SP;;;3554003;0;0;0;855475;1187601;2576489;7920567;156084;5185935
2011;SP;;;3508009;0;0;0;0;0;0;8575668;1424332;0
2011;SP;;;3510203;0;0;0;9406576;5934242;0;8685345;1142241;1724138
2011;SP;;;3522406;0;0;0;950;50;0;8198175;1492651;3091738
2011;SP;;;3532827;0;0;0;0;0;0;8422392;1424936;1526718
2011;SP;;;3543253;0;0;0;9929245;7075472;0;9883721;1162791;0
2011;SP;;;3553856;0;0;0;0;0;0;7879858;6360424;1484099
2011;SP;;;3505708;0;0;0;0;0;0;7461918;1235786;1302296
2011;SP;;;3522505;0;0;0;840442;9849114;6106689;7787708;113168;1080613
2011;SP;;;3525003;0;0;0;8260573;1216462;522965;7745854;1401851;8522946
2011;SP;;;3539103;0;0;0;0;0;0;7607595;1012658;1379747
2011;SP;;;3523107;8918074;1019387;6253909;8933849;7926587;2734926;7736481;169808;5654395
2011;SP;;;3539806;9300518;6735751;2590674;8949408;8729817;1776103;7711547;182567;4627827
2011;SP;;;3505005;0;0;0;9310345;6465517;4310345;9548387;4516129;0
2011;SP;;;3507159;0;0;0;935567;4381444;2061856;800;8936171;1106383
2011;SP;;;3512605;8333334;1666667;0;9333334;6153846;5128205;7901786;1607143;4910714
2011;SP;;;3521705;9667897;3321033;0;9230211;6753813;9440813;8329082;1135204;5357143
2011;SP;;;3522802;1000;0;0;9373717;5030801;1232033;8558394;8941606;5474452
2011;SP;;;3523206;0;0;0;9572791;3318125;953961;8509638;1034321;4560414
2011;SP;;;3543501;8888889;1111111;0;948718;2777778;2350427;9097473;5415163;3610108
2011;SP;;;3507001;0;0;0;0;0;0;8638889;8888889;4722222
2011;SP;;;3508405;0;0;0;9409765;4511743;1390606;8348277;100991;6418122
2011;SP;;;3511508;0;0;0;0;0;0;8376881;9422011;6809185
2011;SP;;;3521002;0;0;0;0;0;0;7911153;13138;7750473
2011;SP;;;3523909;9519231;4326923;4807692;8837778;9624987;1997238;8295922;127572;4283576
2011;SP;;;3525854;0;0;0;0;0;0;9655173;1149425;2298851
2011;SP;;;3540606;0;0;0;8648649;7207207;6306306;8243314;1321447;4352386
2011;SP;;;3545209;9468085;518617;1329787;9659853;2800206;6012713;9169884;644305;1858108
2011;SP;;;3554508;0;0;0;0;0;0;7532189;8655222;1602289
2011;SP;;;3506102;0;0;0;9418127;4401343;1417382;8672329;9655789;3620921
2011;SP;;;3518602;0;0;0;0;0;0;8343195;1057692;5991124
2011;SP;;;3518859;0;0;0;0;0;0;9504644;495356;0
2011;SP;;;3524303;0;0;0;9137145;4419502;4209049;8363971;8455882;7904412
2011;SP;;;3531308;0;0;0;9418121;4655029;1163757;8358832;108484;5563282
2011;SP;;;3531506;0;0;0;9705373;6932409;2253033;9482496;152207;5022831
2011;SP;;;3540903;0;0;0;0;0;0;7898194;1510673;591133
2011;SP;;;3553104;0;0;0;9429929;3562945;2137767;8825911;1012146;1619433
2011;SP;;;3553203;0;0;0;975089;2135231;3558719;9493671;3797468;1265823
2011;SP;;;3553658;0;0;0;9675325;3246753;0;1000;0;0
2011;SP;;;3503901;9511494;4885057;0;9232653;7428571;244898;7948052;1922078;1298701
2011;SP;;;3518305;0;0;0;9550912;4090707;4001779;8563312;1241883;1948052
2011;SP;;;3520202;0;0;0;9048843;874036;7712082;8443396;1132076;4245283
2011;SP;;;3524402;9343284;6368159;199005;9317046;5917347;9121916;807561;1581675;3427158
2011;SP;;;3546009;0;0;0;0;0;0;832981;9302325;7399577
2011;SP;;;3546801;0;0;0;9539627;3991842;6118881;8472609;1077066;450325
2011;SP;;;3502606;0;0;0;1000;0;0;9805195;1948052;0
2011;SP;;;3503950;1000;0;0;9903846;9615384;0;9873418;1265823;0
2011;SP;;;3504206;0;0;0;9492754;4710145;3623188;9338677;3406814;3206413
2011;SP;;;3513850;9310345;6896552;0;8913043;1086957;0;875;125;0
2011;SP;;;3514205;0;0;0;9920635;7936508;0;9425288;5747127;0
2011;SP;;;3518909;0;0;0;9628378;2364865;1351351;8979592;8163265;2040816
2011;SP;;;3524808;0;0;0;9695499;2559576;4854369;9291872;5541872;1539409
2011;SP;;;3529104;0;0;0;9626168;3738318;0;9545454;4545455;0
2011;SP;;;3529658;0;0;0;9589041;4109589;0;9305556;6944445;0
2011;SP;;;3532843;0;0;0;9528302;4716981;0;967033;3296703;0
2011;SP;;;3535200;0;0;0;9662162;3378378;0;9657534;3424658;0
2011;SP;;;3535903;0;0;0;9353613;6463878;0;875;125;0
2011;SP;;;3540259;0;0;0;9416666;3333333;25;93125;0;6875
2011;SP;;;3544509;0;0;0;8048781;1707317;2439024;8943089;9756098;8130081
2011;SP;;;3545704;0;0;0;9212122;7878788;0;9289941;7100592;0
2011;SP;;;3546108;0;0;0;9878049;1219512;0;9555556;4444445;0
2011;SP;;;3546603;0;0;0;9344262;3278688;3278688;9219512;5365854;2439024
